iter	Passed	Remaining
1068	1778	8203
1069	1780	8201
1070	1781	8200
1071	1783	8198
1072	1785	8196
1073	1786	8194
1074	1788	8192
1075	1789	8190
1076	1791	8188
1077	1793	8187
1078	1794	8186
1079	1796	8184
1080	1798	8182
1081	1799	8180
1082	1801	8178
1083	1802	8176
1084	1804	8174
1085	1806	8172
1086	1807	8170
1087	1809	8167
1088	1811	8167
1089	1812	8166
1090	1814	8164
1091	1816	8162
1092	1817	8159
1093	1819	8157
1094	1820	8155
1095	1822	8153
1096	1823	8151
1097	1825	8149
1098	1826	8147
1099	1828	8145
1100	1830	8143
1101	1831	8140
1102	1833	8138
1103	1834	8136
1104	1836	8135
1105	1837	8132
1106	1839	8130
1107	1841	8129
1108	1842	8127
1109	1844	8125
1110	1845	8123
1111	1847	8121
1112	1848	8118
1113	1850	8116
1114	1852	8114
1115	1853	8112
1116	1855	8110
1117	1856	8108
1118	1858	8106
1119	1860	8104
1120	1861	8102
1121	1863	8100
1122	1864	8097
1123	1866	8095
1124	1867	8093
1125	1869	8091
1126	1870	8089
1127	1872	8087
1128	1874	8085
1129	1875	8083
1130	1877	8081
1131	1878	8079
1132	1880	8077
1133	1881	8075
1134	1883	8073
1135	1884	8070
1136	1886	8068
1137	1888	8066
1138	1889	8064
1139	1891	8062
1140	1892	8059
1141	1894	8058
1142	1896	8056
1143	1897	8054
1144	1899	8052
1145	1900	8050
1146	1902	8048
1147	1903	8046
1148	1905	8044
1149	1907	8042
1150	1908	8041
1151	1910	8039
1152	1912	8038
1153	1913	8036
1154	1915	8034
1155	1916	8031
1156	1918	8029
1157	1919	8027
1158	1921	8025
1159	1923	8023
1160	1924	8022
1161	1926	8020
1162	1927	8018
1163	1929	8016
1164	1931	8014
1165	1932	8012
1166	1934	8011
1167	1936	8009
1168	1937	8007
1169	1939	8005
1170	1940	8003
1171	1942	8001
1172	1943	7999
1173	1945	7997
1174	1947	7995
1175	1948	7993
1176	1950	7991
1177	1951	7989
1178	1953	7987
1179	1954	7985
1180	1956	7983
1181	1958	7981
1182	1959	7978
1183	1961	7977
1184	1962	7975
1185	1964	7973
1186	1966	7972
1187	1967	7970
1188	1969	7968
1189	1970	7965
1190	1972	7963
1191	1973	7961
1192	1975	7959
1193	1976	7957
1194	1978	7954
1195	1979	7952
1196	1981	7950
1197	1983	7949
1198	1984	7947
1199	1986	7946
1200	1988	7944
1201	1989	7942
1202	1991	7940
1203	1992	7938
1204	1994	7937
1205	1996	7935
1206	1997	7933
1207	1999	7932
1208	2001	7930
1209	2002	7928
1210	2004	7926
1211	2005	7924
1212	2007	7922
1213	2009	7920
1214	2010	7918
1215	2012	7916
1216	2013	7914
1217	2015	7912
1218	2016	7910
1219	2018	7908
1220	2020	7906
1221	2021	7904
1222	2023	7902
1223	2024	7900
1224	2026	7898
1225	2028	7899
1226	2030	7900
1227	2032	7899
1228	2034	7898
1229	2036	7898
1230	2038	7897
1231	2040	7895
1232	2041	7894
1233	2043	7893
1234	2045	7892
1235	2047	7891
1236	2049	7890
1237	2051	7889
1238	2052	7888
1239	2054	7887
1240	2056	7886
1241	2058	7885
1242	2060	7885
1243	2062	7884
1244	2064	7883
1245	2066	7882
1246	2067	7881
1247	2069	7880
1248	2071	7880
1249	2073	7879
1250	2075	7878
1251	2077	7877
1252	2079	7876
1253	2080	7875
1254	2082	7874
1255	2084	7873
1256	2086	7872
1257	2088	7871
1258	2090	7870
1259	2091	7869
1260	2093	7868
1261	2095	7867
1262	2097	7865
1263	2098	7864
1264	2100	7862
1265	2102	7861
1266	2104	7860
1267	2106	7859
1268	2107	7858
1269	2109	7856
1270	2111	7854
1271	2112	7852
1272	2114	7851
1273	2115	7849
1274	2117	7847
1275	2119	7845
1276	2120	7843
1277	2122	7841
1278	2123	7839
1279	2125	7837
1280	2127	7835
1281	2128	7833
1282	2130	7831
1283	2132	7831
1284	2133	7829
1285	2135	7826
1286	2136	7825
1287	2138	7823
1288	2139	7821
1289	2141	7819
1290	2143	7817
1291	2144	7815
1292	2146	7813
1293	2148	7812
1294	2149	7810
1295	2151	7808
1296	2152	7806
1297	2154	7804
1298	2155	7801
1299	2157	7800
1300	2159	7798
1301	2160	7796
1302	2162	7794
1303	2163	7792
1304	2165	7790
1305	2166	7788
1306	2168	7785
1307	2169	7783
1308	2171	7781
1309	2173	7780
1310	2174	7778
1311	2176	7775
1312	2177	7774
1313	2179	7771
